name,site,vcpu,ram_gb,disk_gb,powered_on,dr_protected,dr_vcpu,dr_ram_gb,dr_disk_gb,workload_tier,notes
app-01,Primary,4,32.0,301.0,True,False,4,32.0,301.0,Standard Production,
file-01,Primary,4,8.0,1653.0,True,False,4,8.0,1653.0,Standard Production,
db-01,Primary,10,96.0,709.0,True,False,5,48.0,709.0,Standard Production,
db-02,Primary,8,128.0,1440.0,True,False,4,64.0,1440.0,Standard Production,
file-02,Primary,4,16.0,3533.0,True,False,4,16.0,3533.0,Standard Production,
db-03,Primary,8,64.0,1854.0,True,False,4,32.0,1854.0,Standard Production,
web-01,Primary,2,10.0,171.0,True,False,2,10.0,171.0,Standard Production,
db-04,Primary,12,64.0,1872.0,True,False,6,32.0,1872.0,Standard Production,
mail-01,Primary,4,16.0,425.0,True,False,4,16.0,425.0,Standard Production,
file-03,Primary,2,16.0,2328.0,True,False,2,16.0,2328.0,Standard Production,
web-02,Primary,2,10.0,202.0,True,False,2,10.0,202.0,Standard Production,
app-02,Primary,8,32.0,361.0,True,False,8,32.0,361.0,Standard Production,
file-04,Primary,4,8.0,2084.0,True,False,4,8.0,2084.0,Standard Production,
mail-02,Primary,4,16.0,599.0,True,False,4,16.0,599.0,Standard Production,
dc-01,Primary,2,8.0,112.0,True,False,2,8.0,112.0,Standard Production,
web-03,Primary,2,16.0,140.0,True,False,2,16.0,140.0,Standard Production,
file-05,Primary,4,12.0,3440.0,True,False,4,12.0,3440.0,Standard Production,
dc-02,Primary,2,8.0,87.0,True,False,2,8.0,87.0,Standard Production,
dc-03,Primary,2,8.0,98.0,True,False,2,8.0,98.0,Standard Production,
file-06,Primary,4,16.0,1731.0,True,False,4,16.0,1731.0,Standard Production,
web-04,Primary,4,16.0,229.0,True,False,4,16.0,229.0,Standard Production,
app-03,Primary,4,32.0,471.0,True,False,4,32.0,471.0,Standard Production,
file-07,Primary,4,12.0,1980.0,True,False,4,12.0,1980.0,Standard Production,
dc-04,Primary,2,8.0,111.0,True,False,2,8.0,111.0,Standard Production,
dc-05,Primary,2,8.0,110.0,True,False,2,8.0,110.0,Standard Production,
app-04,Primary,8,24.0,308.0,True,False,8,24.0,308.0,Standard Production,
mail-03,Primary,4,16.0,491.0,True,False,4,16.0,491.0,Standard Production,
dc-06,Primary,2,8.0,84.0,True,False,2,8.0,84.0,Standard Production,
dc-07,Primary,2,8.0,84.0,True,False,2,8.0,84.0,Standard Production,
web-05,Primary,2,10.0,118.0,True,False,2,10.0,118.0,Standard Production,
db-05,Primary,10,128.0,770.0,True,False,10,128.0,770.0,Standard Production,
dc-08,Primary,2,8.0,92.0,True,False,2,8.0,92.0,Standard Production,
mail-04,Primary,4,16.0,539.0,True,False,4,16.0,539.0,Standard Production,
web-06,Primary,2,4.0,203.0,True,False,2,4.0,203.0,Standard Production,
web-07,Primary,2,16.0,214.0,True,False,2,16.0,214.0,Standard Production,
app-05,Primary,4,16.0,426.0,True,False,4,16.0,426.0,Standard Production,
web-08,Primary,2,4.0,160.0,True,False,2,4.0,160.0,Standard Production,
file-08,Primary,4,8.0,1674.0,True,False,4,8.0,1674.0,Standard Production,
file-09,Primary,4,12.0,2732.0,True,False,4,12.0,2732.0,Standard Production,
mail-05,Primary,4,16.0,397.0,True,False,4,16.0,397.0,Standard Production,
web-09,Primary,2,16.0,180.0,True,False,2,16.0,180.0,Standard Production,
dc-09,Primary,2,8.0,112.0,True,False,2,8.0,112.0,Standard Production,
app-06,Primary,4,32.0,320.0,True,False,2,16.0,320.0,Standard Production,
dc-10,Primary,2,8.0,85.0,True,False,2,8.0,85.0,Standard Production,
dc-11,Primary,2,8.0,93.0,True,False,2,8.0,93.0,Standard Production,
