name,site,vcpu,ram_gb,disk_gb,powered_on,dr_protected,dr_vcpu,dr_ram_gb,dr_disk_gb,workload_tier,notes
app-01,Primary,4,32,301,True,False,0,0,0,Standard Production,
file-01,Primary,4,8,1653,True,False,0,0,0,Standard Production,
db-01,Primary,10,96,709,True,True,5,48.0,709,Standard Production,
db-02,Primary,8,128,1440,True,True,4,64.0,1440,Standard Production,
file-02,Primary,4,16,3533,True,False,0,0,0,Standard Production,
db-03,Primary,8,64,1854,True,True,4,32.0,1854,Standard Production,
web-01,DR,2,10,171,True,False,0,0,0,Standard Production,
db-04,Primary,12,64,1872,True,True,6,32.0,1872,Standard Production,
mail-01,Primary,4,16,425,True,False,0,0,0,Standard Production,
file-03,Primary,2,16,2328,True,False,0,0,0,Standard Production,
web-02,Primary,2,10,202,True,False,0,0,0,Standard Production,
app-02,DR,8,32,361,True,False,0,0,0,Standard Production,
file-04,Primary,4,8,2084,True,False,0,0,0,Standard Production,
mail-02,Primary,4,16,599,True,False,0,0,0,Standard Production,
dc-01,Primary,2,8,112,True,False,0,0,0,Standard Production,
web-03,DR,2,16,140,True,False,0,0,0,Standard Production,
file-05,Primary,4,12,3440,True,False,0,0,0,Standard Production,
dc-02,Primary,2,8,87,True,False,0,0,0,Standard Production,
dc-03,Primary,2,8,98,True,False,0,0,0,Standard Production,
file-06,Primary,4,16,1731,True,False,0,0,0,Standard Production,
web-04,DR,4,16,229,True,False,0,0,0,Standard Production,
app-03,Primary,4,32,471,True,False,0,0,0,Standard Production,
file-07,Primary,4,12,1980,True,False,0,0,0,Standard Production,
dc-04,DR,2,8,111,True,False,0,0,0,Standard Production,
dc-05,Primary,2,8,110,True,False,0,0,0,Standard Production,
app-04,Primary,8,24,308,True,False,0,0,0,Standard Production,
mail-03,Primary,4,16,491,True,False,0,0,0,Standard Production,
dc-06,Primary,2,8,84,True,False,0,0,0,Standard Production,
dc-07,Primary,2,8,84,True,False,0,0,0,Standard Production,
web-05,Primary,2,10,118,True,False,0,0,0,Standard Production,
db-05,Primary,10,128,770,True,False,0,0,0,Standard Production,
dc-08,Primary,2,8,92,True,False,0,0,0,Standard Production,
mail-04,Primary,4,16,539,True,False,0,0,0,Standard Production,
web-06,Primary,2,4,203,True,False,0,0,0,Standard Production,
web-07,Primary,2,16,214,True,False,0,0,0,Standard Production,
app-05,Primary,4,16,426,True,False,0,0,0,Standard Production,
web-08,Primary,2,4,160,True,False,0,0,0,Standard Production,
file-08,Primary,4,8,1674,True,False,0,0,0,Standard Production,
file-09,Primary,4,12,2732,True,False,0,0,0,Standard Production,
mail-05,DR,4,16,397,True,False,0,0,0,Standard Production,
web-09,Primary,2,16,180,True,False,0,0,0,Standard Production,
dc-09,Primary,2,8,112,True,False,0,0,0,Standard Production,
app-06,Primary,4,32,320,True,True,2,16.0,320,Standard Production,
dc-10,Primary,2,8,85,True,False,0,0,0,Standard Production,
dc-11,Primary,2,8,93,True,False,0,0,0,Standard Production,
